公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级python开发工程师,3-5年,本科,20k-30k,"上市公司,技术领先,福利待遇好"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,3-5年,本科,15k-25k,来吧，与技术大牛过招吧！
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python开发工程师,3-5年,本科,10k-18k,"一日三餐,六险一金,14薪,定期团建"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 3 开发 (MJ000552),1-3年,本科,20k-35k,"三餐,健身房,mac"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python研发工程师,1-3年,本科,20k-25k,"扁平化管理,免费中午餐,下午茶零食,六险一金"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,系统开发工程师（Python）,3-5年,本科,20k-35k,"五险一金,餐补,生日会,优秀团队"
北京启明合心科技有限公司,合心科技,50-150人,A轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,高级 Python 工程师,3-5年,本科,20k-40k,"区块链技术,国际化团队,技术大牛,发展前景好"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,朝阳区,Python研发工程师,3-5年,本科,35k-55k,"硕士最好,不加班,18薪,有期权"
北京乐信圣文科技有限责任公司,乐信圣文,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,10k-20k,"年终奖,免费工作餐,五险一金,高端医疗"
北京一览科技有限公司,一览科技,150-500人,B轮,朝阳区,python开发工程师,3-5年,本科,20k-40k,福利优厚
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"硅谷氛围,高手如云,零食水果"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python工程师,1-3年,本科,20k-40k,"技术驱动,极客氛围,大牛团队"
北京好巧国际旅行社有限公司,好巧,150-500人,B轮,朝阳区,Python研发工程师,3-5年,大专,18k-30k,"弹性工作,百万医疗,10天年假,高速增长"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,Python开发工程师,3-5年,本科,25k-50k,"扁平管理,六险二金,免费三餐,弹性工作"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,5-10年,硕士,25k-40k,"五险一金,交通补,免费早餐,定期体检"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发,1-3年,本科,20k-40k,"三餐,健身房,mac"
上海诚信互通网络信息科技有限公司,诚信互通,150-500人,A轮,海淀区,Python研发工程师,3-5年,大专,15k-30k,五险一金
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,3-5年,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,python高级工程师/开发专家,3-5年,本科,25k-50k,发展空间大
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,python研发工程师,5-10年,本科,15k-30k,"薪酬福利好,云计算公司"
企鹅创新（北京）科技有限公司,企鹅创新,50-150人,天使轮,朝阳区,Python工程师,3-5年,本科,15k-25k,"五险一金,带薪年假,午餐报销"
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,3-5年,本科,18k-36k,"初创公司,技术驱动"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python高级工程师,5-10年,本科,25k-30k,"团队氛围好,高速发展,福利多多"
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,25k-40k,"技术大牛多,福利待遇好"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,python讲师,3-5年,不限,18k-36k,"领导好,奖金多,行业翘楚,无限可能"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python后端工程师,3-5年,本科,25k-50k,大牛多
北京七彩焕腾科技有限公司,七彩焕腾,150-500人,B轮,朝阳区,架构师（Python）,5-10年,本科,30k-40k,bat
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python工程师,3-5年,本科,17k-34k,"地铁周边,零食水果,福利优厚,五险一金"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python开发工程师,1-3年,本科,20k-40k,六险一金，高薪期权，弹性工作，免费三餐
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,朝阳区,python开发,3-5年,本科,10k-18k,"七险一金,带薪年假,弹性工作,职位晋升"
北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,Python开发工程师,3-5年,本科,10k-20k,"周末双休,法定节假日,六险一金,年底双薪"
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,Python中级工程师,3-5年,本科,15k-25k,"六险一金,晋升空间大,超长年假,团队氛围好"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python工程师,3-5年,本科,20k-40k,"七险一金,核心项目,高新企业,大牛同事"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师—监控方向,3-5年,本科,15k-30k,"五险一金,创业公司,补充医疗,带薪年假"
北京豆网科技有限公司,豆瓣网,150-500人,C轮,朝阳区,Python开发工程师,3-5年,本科,20k-35k,"六险一金,带薪年假,年度体检,早餐下午茶"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,海淀区,Python高级开发工程师,3-5年,本科,18k-36k,"团队技术强,发展空间大,人工智能"
北京大米未来科技有限公司,VIPKID,2000人以上,D轮及以上,朝阳区,高级Python开发工程师,3-5年,本科,15k-30k,"住房补贴,待遇优厚,福利多,专属班车"
京东金融,京东金融,2000人以上,上市公司,大兴区,高级Python开发工程师,5-10年,本科,20k-40k,"班车,餐补"
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-25k,平台好，发展空间大
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,1-3年,本科,15k-25k,"六险一金,节日福利,带薪休假,餐补"
北京棕榈创想科技有限公司,PALMAX,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"14薪,技术新,大牛多,年度体检"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,朝阳区,python开发,3-5年,大专,10k-20k,"上市公司,福利多多,项目大,五险一金"
北京启明合心科技有限公司,合心科技,50-150人,A轮,海淀区,高级python后端工程师,3-5年,本科,20k-35k,"领导好,不打卡,氛围好"
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,Python研发工程师,5-10年,本科,20k-40k,"技术大咖,公司氛围好,项目奖金"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,Python开发工程师—CI/CD方向,3-5年,本科,15k-30k,"发展空间大,五险一金,带薪年假,创业公司"
北京百乘金科科技有限公司,百乘集团,2000人以上,上市公司,朝阳区,Python量化系统工程师,3-5年,本科,20k-40k,"五险一金,绩效奖金,餐补,带薪年假"
中电信用服务有限公司,中电信用,50-150人,未融资,海淀区,Python工程师,5-10年,本科,15k-25k,"五险一金,带薪年假,餐补车补,定期体检"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python开发工程师-变现业务,1-3年,本科,25k-40k,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python开发,不限,本科,10k-13k,"大公司,六险一金,人工智能,班车食堂"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python工程师,3-5年,大专,16k-20k,九险一金
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,Python工程师,3-5年,大专,15k-30k,"机会多多,K12,平台好"
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,Python开发工程师,1-3年,本科,10k-20k,"七险一金,14薪,提供三餐,晋升空间"
北京智能优学科技有限公司,熊猫加加,15-50人,未融资,朝阳区,Python高级开发工程师,3-5年,本科,25k-30k,"五险一金,技术大牛,团队出游,部门聚餐"
北京曜辉信息科技有限公司,曜辉科技,15-50人,未融资,朝阳区,Python工程师-机器学习方向,1-3年,本科,20k-35k,"高成长,机会大,全额险金,有零食"
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发工程师,1-3年,本科,10k-20k,"大牛带队,注重成长,季度奖金,免费午餐"
安一恒通（北京）科技有限公司,度小满金融,500-2000人,A轮,海淀区,Python工程师,1-3年,本科,15k-30k,"技术过硬,经验丰富"
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,Python开发工程师,3-5年,不限,20k-40k,"优秀团队,优秀项目"
北京自造星球科技有限公司,牛顿Newton,50-150人,不需要融资,朝阳区,高级Python研发工程师,3-5年,本科,15k-30k,"区块链,高成长"
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,python后台工程师,3-5年,本科,20k-40k,"弹性工作,六险一金,学习氛围,绩效奖金"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级Python开发工程师—CI/CD方向,3-5年,本科,20k-40k,"五险一金,创业公司,发展空间大,补充医疗"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python研发工程师,1-3年,本科,20k-40k,"六险一金,高薪期权,弹性工作,租房补贴"
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,不需要融资,朝阳区,高级Python研发工程师,3-5年,本科,15k-30k,"弹性上下班,高速发展,高速成长"
北京中谷金科信息技术有限公司,中谷金科,50-150人,B轮,通州区,高级python工程师,5-10年,本科,18k-25k,"晋升快,人工智能,量化开发,五险一金"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python后端工程师,3-5年,本科,25k-50k,大牛多
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发工程师,3-5年,本科,15k-30k,薪资优厚、氛围宽松、每日三餐、六险一金
北京未来光合科技有限公司,未来光合,,,海淀区,Python高级软件工程师,3-5年,本科,25K-35K,硅谷风格，水果饮料，股票期权，每月团建
联想（北京）有限公司,联想集团,2000人以上,上市公司,海淀区,Python 开发,1-3年,本科,10k-15k,稳定
北京源石智影科技有限公司,智影,50-150人,不需要融资,朝阳区,python开发工程师,1-3年,本科,15k-20k,"朝阳行业,平台广阔,技术大牛,福利丰厚"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,3-5年,本科,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,Python工程师-赴微软小冰,1-3年,本科,8k-10k,"六险一金,带薪年假,节日福利,弹性工作"
国美金控投资有限公司,国美金控,2000人以上,未融资,朝阳区,python研发工程师,5-10年,本科,30k-40k,"大平台,新项目,领导卓越"
北京七彩焕腾科技有限公司,七彩焕腾,150-500人,B轮,朝阳区,高级python开发工程师,5-10年,本科,25k-35k,bat
小叶子（北京）科技有限公司,The ONE,150-500人,C轮,朝阳区,python,3-5年,本科,20k-30k,"免费午晚餐,五险一金,交补,年终奖"
爱赛因斯（北京）科技有限公司,PMCAFF产品经理社区,15-50人,A轮,朝阳区,Python工程师,3-5年,本科,15k-30k,项目好
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,python开发工程师-赴微软,1-3年,本科,10k-15k,"带薪年假,六险一金,年终奖金,弹性工作"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,校招-Python/Golang研发工程师,不限,本科,10k-15k,"六险一金,技能培训,节日福利,免费三餐"
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,3-5年,本科,12k-18k,"五险一金,绩效奖金,餐补"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,3-5年,本科,15k-25k,"管理扁平化,发展机会佳,薪资待遇好"
永杨安风（北京）科技有限公司,LBE 科技,50-150人,B轮,朝阳区,资深Python工程师,5-10年,本科,35k-45k,"移动互联网,绩效奖金,妹子多,国外团建"
北京下厨房科技有限公司,下厨房,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,15k-25k,"带薪年假多,免费午餐,弹性工作制,工作氛围佳"
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,高级Python开发工程师,5-10年,本科,25k-40k,"前沿技术,弹性工作,丰富下午茶"
北京雷石世纪科技有限公司,北京雷石公司,150-500人,A轮,朝阳区,Python工程师,1-3年,大专,10k-20k,"补充医疗险,弹性工作制"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,朝阳区,python开发,3-5年,大专,10k-15k,"上市公司,项目大,福利多多,周末双休"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,1-3年,本科,18k-35k,"全五险一金,牛人多,发展快,福利好"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,python开发工程师,3-5年,本科,14k-26k,带薪年假 五险一金
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,python 高级工程师,3-5年,大专,20k-35k,"十五薪,打车补贴,双月奖金"
安一恒通（北京）科技有限公司,度小满金融,500-2000人,A轮,海淀区,python工程师,1-3年,本科,15k-30k,弹性工作制
北京来也网络科技有限公司,助理来也,50-150人,B轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"人工智能,弹性工作,扁平管理,技术牛人"
紫梧桐（北京）资产管理有限公司,蛋壳公寓,2000人以上,B轮,东城区,Python开发工程师,5-10年,本科,20k-40k,技术大牛团
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发,应届毕业生,本科,10k-15k,"七险一金,扁平管理,技术氛围浓,业务发展快"
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,Python开发工程师,3-5年,本科,15k-30k,"前沿技术,丰富下午茶,弹性工作,扁平管理"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,Python,1-3年,本科,15k-30k,"免费中晚餐,下午茶,六险一金,扁平化管理"
北京优虎商务服务有限公司,老虎集团,150-500人,C轮,朝阳区,python开发工程师,1-3年,本科,20k-40k,"6险一金,期权股票,团队氛围好,地铁周边"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-50k,大牛多
达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,Python高级开发工程师 (MJ003815),3-5年,本科,15k-25k,"股权激励,上市平台,发展空间,大平台"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师（devops经验优先）,5-10年,本科,20k-35k,"上市公司,大数据企业,年终奖金,带薪年假"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-28k,"弹性工作制,扁平化管理,绩效奖金,美国上市"
北京刷刷看网络科技有限公司,刷刷看,150-500人,A轮,朝阳区,Python工程师,1-3年,本科,15k-30k,"地铁周边,移动社交,牛人大咖多,新兴行业"
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,python开发,应届毕业生,本科,10k-20k,"六险一金,免费午餐,不打卡,纯技术团队"
新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,海淀区,Python开发工程师,1-3年,本科,13k-26k,系统开发
无锡信成网络科技有限公司,黑牛保,15-50人,A轮,大兴区,python开发工程师,5-10年,本科,15k-20k,"五险一金,周末双休,节日福利,员工旅游"
深圳市麦达数字股份有限公司,麦达数字,500-2000人,上市公司,朝阳区,PYTHON研发工程师,3-5年,本科,25k-35k,"上市公司,五险一金,薪酬福利好,发展空间大"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python架构师,5-10年,本科,30k-60k,带薪年假、五险一金、一日三餐、定期体检
北京库神信息技术有限公司,库神,50-150人,A轮,海淀区,Python研发工程师,1-3年,本科,20k-40k,"发展潜力大,补充医疗,新技术,团队氛围好"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,18k-35k,"全额保险,自助午餐,核心业务,大牛同事"
北京仁信智清科技有限公司,智清金科,15-50人,A轮,海淀区,Python,不限,本科,20k-35k,"领导好,大牛云集,薪资待遇,职业发展"
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,python开发,应届毕业生,本科,10k-20k,"六险一金,免费午餐,极客氛围,薪资高"
北京路玺优讯科技有限公司,面包旅行,50-150人,C轮,朝阳区,Python开发工程师,3-5年,本科,25k-35k,"发展空间大,晋升空间大,扁平化管理"
北京罗威亚科技有限公司,罗威亚科技,15-50人,天使轮,大兴区,python攻城狮,1-3年,本科,9k-15k,"平台好,技术新,大牛带,团队棒"
北京中科物安科技有限公司,中科物安,15-50人,未融资,海淀区,python开发工程师,3-5年,本科,15k-25k,"发展空间大,五险一金,餐补,带薪年假"
北京明微共创科技有限公司,明微科技,少于15人,未融资,海淀区,python工程师,不限,本科,4k-6k,"全勤奖,餐补,五险一金"
北京春雨天下软件有限公司,春雨医生,150-500人,C轮,海淀区,Python,3-5年,本科,20k-40k,有挑战，自主加薪，技术氛围好
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Python助教,1-3年,本科,6k-8k,"空间无限大,领导好,团队优秀,团队氛围好"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级数据工程师,3-5年,本科,20k-30k,"五险一金,一日三餐,带薪年假,定期体检"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,服务端高级开发工程师Golang/Python,3-5年,本科,35k-45k,"优厚待遇,技术导向"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,Python架构师,5-10年,本科,20k-40k,"免费三餐,免费班车,下午茶,良好办公环"
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,python高级开发工程师（技术）,3-5年,本科,25k-50k,"独角兽,待遇好,工作环境好"
北京格灵深瞳信息技术有限公司,格灵深瞳,150-500人,C轮,海淀区,Python高级开发工程师&nbsp;,3-5年,本科,15k-30k,"扁平化管理,不定期团建"
赤子城网络技术（北京）有限公司,赤子城,150-500人,D轮及以上,朝阳区,python开发工程师,3-5年,本科,10k-20k,"七险一金,绩效奖金,发展空间,团队氛围"
上海微创软件股份有限公司北京分公司,微创,2000人以上,不需要融资,海淀区,python（赴百度）,1-3年,本科,11k-18k,"大厂经验,班车食堂,六险一金"
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,高级python开发工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,高级python工程师,5-10年,大专,20k-30k,"机会多多,平台好,领导好"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级Python开发工程师—监控方向,3-5年,本科,20k-40k,"创业公司,补充医疗,五险一金,带薪休假"
上海福萝电子科技有限公司,Cobo Wallet,15-50人,A轮,朝阳区,"Python, nodejs，golang工程师",3-5年,本科,30k-60k,"股权激励,成长空间,大牛团队,良好环境"
北京创智优品科技有限公司,Zenjoy,150-500人,不需要融资,东城区,Python后台开发工程师,3-5年,本科,15k-30k,"六险一金,年底双薪,出国旅行,包午晚餐"
人人贷商务顾问（北京）有限公司,人人贷,2000人以上,A轮,海淀区,Python开发高级工程师,3-5年,本科,30k-60k,"五险一金,节假日礼金,竞争力薪酬"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,Python工程师,不限,本科,18k-35k,"大公司,大平台,机会多,六险一金"
茂逊科技有限公司,modeush,2000人以上,D轮及以上,海淀区,python,5-10年,本科,20k-35k,"不打卡,免费餐饮,扁平管理,13薪"
京北方信息技术股份有限公司,京北方,2000人以上,D轮及以上,丰台区,Python,3-5年,本科,12k-20k,平台大，项目多
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python架构师,5-10年,本科,35k-60k,"硅谷范办公,六险一金,水果零食,团队氛围佳"
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,Python后端工程师,5-10年,本科,25k-40k,"五险一金,免费午餐,团队融洽,技术超前"
生命奇点（北京）科技有限公司,生命奇点,50-150人,A轮,海淀区,大数据平台开发工程师 Java/Python,应届毕业生,本科,10k-20k,"发展空间大,项目前景好,团队氛围好,技术导向"
北京爱选信息科技有限公司,爱选科技,少于15人,天使轮,朝阳区,Python开发工程师,3-5年,本科,15k-25k,"金融科技类,公司氛围好"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级Python研发工程师（DevOps经验优先）,3-5年,本科,15k-25k,"上市公司,大数据企业,年终奖金,带薪年假"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级python工程师,3-5年,本科,30k-60k,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资
小叶子（北京）科技有限公司,The ONE,150-500人,C轮,朝阳区,Python开发工程师,3-5年,本科,20k-30k,"五险一金,交通补助,午晚餐"
北京智合大方科技有限公司,客知音,15-50人,天使轮,东城区,资深python开发,不限,本科,35k-50k,"交通便利,领导大牛,晋升空间大,薪酬有吸引"
上海一起作业信息科技有限公司,一起科技,500-2000人,D轮及以上,朝阳区,Python高级研发工程师(技术),不限,不限,15k-30k,"绩效奖金,带薪年假"
深圳码隆科技有限公司,码隆科技,50-150人,B轮,海淀区,python工程师(北京),1-3年,本科,15k-25k,发展前景广阔
北京大河有渔网络科技有限公司,大河有渔,15-50人,天使轮,海淀区,Python开发工程师,1-3年,本科,10k-15k,有良好行业发展前景、舒适的办公环境
北京中公教育科技股份有限公司,中公教育,2000人以上,未融资,海淀区,Python讲师,3-5年,本科,20k-30k,"五险一金,补助"
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,初级Python开发工程师,3-5年,本科,10k-15k,"五险一金,全勤奖,餐补,年终奖金"
昆仑智汇数据科技（北京）有限公司,K2DATA,50-150人,B轮,海淀区,软件开发工程师（Python）,3-5年,本科,15k-30k,行业大牛
北京源清慧虹信息科技有限公司,源清慧虹,50-150人,B轮,海淀区,高级python研发工程师,3-5年,本科,20k-30k,"二次医疗,健身场所,福利补助"
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,python工程师,不限,本科,30k-45k,"大牛同事,机器学习,六险一金,丰厚年终奖"
