楼盘名称,楼盘位置,单价,总价,面积
涿州孔雀城悦澜湾,北京周边,,,2-4室82-148㎡
华润西山墅,门头沟区,600,总价待定,5室126-650㎡
首创远洋禧瑞天著,大兴区,52695,总价待定,2-4室89-138㎡
绿地·海珀云翡,大兴区,76000,总价待定,3室158㎡
恒大领寓,朝阳区,34000,170万起,1室50㎡
北京城建徜徉街,房山区,14724,462万起,1室243㎡
绿城御园,海淀区,78534,总价待定,3-6室289-360㎡
金泰丽湾悦栖山,门头沟区,29000,总价待定,2-3室92-140㎡
密云银河湾,密云区,18691,总价待定,
孔雀城大学里,北京周边,,,1-4室31-160㎡
国瑞熙墅,昌平区,46836,总价待定,3-5室189-409㎡
学府花园,密云区,16477,总价待定,2-3室88-127㎡
M5运河1号,通州区,50000,431万起,3室83㎡
成大广场,通州区,,,
帝景天城,北京周边,,,2-5室114-278㎡
K2玉蘭湾,通州区,,,
北京自在城,北京周边,,,
碧桂园·北京郡,海淀区,,147万起,3室113㎡
中国铁建山语城,丰台区,35000,总价待定,
新地国际家园,通州区,48000,339万起,2室97㎡
润枫领尚,通州区,54000,总价待定,3室88-155㎡
北京理想城,东城区,7241,总价待定,2-3室79-110㎡
西城汇,西城区,50000,347万起,1室74㎡
金力紫御华府,朝阳区,95000,3223-3700万,4-6室322-972㎡
华泰忆江南,东城区,11650,总价待定,1-3室45-111㎡
万科·弗农小镇,密云区,12903,总价待定,2-4室75-248㎡
顶秀美泉小镇,怀柔区,,,2-3室88-157㎡
天恒乐墅,房山区,43369,总价待定,
中海丽春湖墅,昌平区,54553,总价待定,3室89㎡
中根绿地悦·公寓,通州区,42000,178-238万,1-2室42-56㎡
中国铁建国际花园,房山区,20000,总价待定,2-3室75-128㎡
太阳公元,朝阳区,88000,总价待定,
恒大未来城,大兴区,42000,142万起,1室34㎡
碧桂园时代城,北京周边,,,2-5室85-270㎡
鸿盛望京,北京周边,,,1-3室59-110㎡
紫金新干线,昌平区,,,
红玺台,朝阳区,92000,总价待定,
天恒京西悦府,房山区,38000,456-576万,3室95-120㎡
远洋天著,大兴区,73000,1155-1239万,4室165-542㎡
丽宫,顺义区,70000,总价待定,
香榭8号,朝阳区,85000,1181万起,3室139-149㎡
鲁能7号院溪园,顺义区,23576,总价待定,
泰禾·中国院子,通州区,,,5室376㎡
领秀观山悦,昌平区,23678,总价待定,391-491㎡
首开中晟广场,顺义区,,118万起,1室36㎡
桃源新都孔雀城,北京周边,11000,总价待定,2-3室83-115㎡
温泉新都孔雀城,霸州市,9000,76-99万,1-5室50-300㎡
永定河孔雀城海德壹号院,固安,21000,270万起,3室129㎡
水木兰亭三期,顺义区,,,3室155-160㎡
星河185,东城区,13519,总价待定,
绿地礼御,房山区,,171万起,2室49㎡
碧桂园九龙湾,房山区,,,1-3室41-136㎡
长安壹号,门头沟区,110000,11291万起,4-5室1313-2150㎡
浅山香邑,顺义区,24000,371-567万,3-4室106-162㎡
世界侨商中心,通州区,55000,338万起,2-11室94-2253㎡
燕南郡,北京周边,,,2-4室85-213㎡
龙脉公馆,昌平区,38000,总价待定,1-2室60-110㎡
荣盛白鹭岛·漫萍屿,北京周边,11000,75万起,2-3室79-99㎡
琴湖湾,顺义区,23170,总价待定,2-4室109-185㎡
金地华著,海淀区,,2250-3795万,3-4室150-253㎡
京投发展公园悦府,昌平区,58500,总价待定,1-3室49-118㎡
西山燕庐,门头沟区,60000,910-1092万,4室140-168㎡
合生滨江帝景,通州区,75000,670万起,2-3室88-154㎡
金色漫香林,大兴区,30107,总价待定,2-5室75-270㎡
鸿威翡翠城,怀来县,15500,317万起,3室205㎡
江湾公馆,惠城区,15000,192-216万,1室48㎡
空港国际,顺义区,13000,总价待定,2室56㎡
凯兴悦享城,北京周边,,,2-3室90-105㎡
花雨汀,昌平区,46000,453-458万,3室98-99㎡
九號别墅,海港区,13500,152-348万,3-6室113-350㎡
蓝光星华·海悦城,房山区,,,1-4室46-104㎡
京投万科新里程,房山区,23700,总价待定,2室90㎡
北京城建海梓府·玫瑰墅,大兴区,63000,总价待定,3室77-369㎡
北京城建·上河湾,密云区,,214-227万,3室133-142㎡
直隶新城,竞秀区,15000,91-134万,1-2室63-92㎡
学府锦园,固安县,22000,总价待定,2-3室74-130㎡
中海枫丹公馆,东城区,,4192万起,5室446㎡
京贸国际公馆,通州区,64000,总价待定,3室90-127㎡
电建地产泷悦公馆,门头沟区,63000,总价待定,4室174-178㎡
金玉府,海淀区,78900,1044-1059万,2-3室101-136㎡
温哥华森林,昌平区,108407,总价待定,5室492㎡
众智慧谷,密云区,10000,总价待定,2-3室112-157㎡
格拉斯小镇,通州区,77900,总价待定,4室438-805㎡
华润·悦景湾,门头沟区,34000,162万起,3室54㎡
富力尚悦居,通州区,24000,总价待定,2-3室84-98㎡
挪威de森林,北京周边,8500,总价待定,
鼎盛家园二期,北京周边,,,1-3室51-125㎡
五矿万科城,北京周边,,,5室70-315㎡
香语世界城,北京周边,6557,总价待定,1-4室62-163㎡
鼎晟国际,通州区,,,3室96-132㎡
世外桃苑三期,平谷区,,,5室191-367㎡
中国铁建·原香汇,房山区,11000,73万起,2室42-67㎡
黄金SOHO,北京周边,9592,总价待定,
兰亭雅居,广阳区,35000,1925万起,5-8室418-791㎡
润泽公馆,朝阳区,90000,总价待定,1-4室60-263㎡
前海中金公馆,海淀区,90000,540-1224万,1-3室60-136㎡
龙华城,北京周边,,,1-4室59-166㎡
金地未未来,顺义区,30000,总价待定,27-57㎡
永清荣盛花语城,房山区,8000,总价待定,2-3室72-137㎡
远洋春天著,房山区,45000,总价待定,3室36㎡
融创长滩壹号,昌平区,29499,总价待定,
紫阙·天禄,东城区,115000,1548-3762万,3室172-418㎡
中粮天恒天悦壹号,丰台区,82000,1033-1131万,4室124-150㎡
北京壹号庄园,昌平区,63000,总价待定,
祥云赋,顺义区,55583,总价待定,
天资璟庭,房山区,24500,总价待定,2-4室104-188㎡
潭柘柏逸,门头沟区,40000,540-1112万,2-5室135-278㎡
雷捷时代广场,北京周边,6600,总价待定,
路劲世界城,昌平区,25360,总价待定,
金海城二期,北京周边,,,1-3室50-119㎡
首开国风美仑,通州区,20148,总价待定,2-3室76-90㎡
密云华润橡树湾,密云区,81818,总价待定,2-5室88-375㎡
康城瑞河兰乔,北京周边,13000,总价待定,
金成府,通州区,31000,总价待定,
凤河孔雀城,东城区,4500,总价待定,
银河领域,北京周边,8100,总价待定,2室120-126㎡
天恒金融街公园懿府,丰台区,73000,828-907万,3室115-126㎡
北大金远国际城,北京周边,,,2-3室90-120㎡
奥东18号,朝阳区,,1443万起,2室144㎡
塞纳荣府,北京周边,,,5室57-399㎡
世茂维拉,房山区,,,
未来公元,昌平区,56000,总价待定,3-4室104-160㎡
路劲阳光城,三河市,11000,总价待定,1-4室66-127㎡
云南-万达西双版纳国际度假区,海淀区,8000,29-60万,1-3室41-89㎡
合生麒麟公馆,通州区,25000,110万起,1室44㎡
凯德麓语,昌平区,39534,总价待定,1-5室429-865㎡
EBC潮白生态城,北京周边,,,44-122㎡
首开龙湖天琅,大兴区,70270,总价待定,3-5室185-436㎡
大学里峰尚,北京周边,14000,总价待定,
潮新佳苑,北京周边,7000,总价待定,1-2室49-92㎡
山海同湾,东城区,8500,总价待定,1-3室43-105㎡
合生滨江帝景,通州区,38000,398-523万,3室99-137㎡
金银湾,北京周边,,,37-308㎡
霞公府,东城区,137000,4795-8097万,4-5室350-591㎡
紫竹湾商业广场,北京周边,17500,总价待定,57-148㎡
天安国汇,西城区,150000,总价待定,1室135-176㎡
中骏天宸,西城区,,,3-4室140-270㎡
长安太和1号楼,东城区,140000,总价待定,142-977㎡
合生霄云路8号,朝阳区,,6760万起,5室520㎡
温泉新都孔雀城,北京周边,9500,总价待定,3室75-105㎡
新奇世界由山由谷,平谷区,,,3室30-165㎡
九章别墅,朝阳区,,,6室770㎡
鲁能7号院,顺义区,22000,总价待定,2-3室85-287㎡
通州万国城MOMA,通州区,71000,977-1215万,3室115-149㎡
领秀•翡翠墅,丰台区,45000,总价待定,3-4室159-225㎡
鹏润家园五期,西城区,50000,总价待定,2-3室147-204㎡
国锐·金嵿,大兴区,80000,2208-2224万,4室276-278㎡
京禧阁,崇文,56194,总价待定,
枢密院尖子班,通州区,,,108-124㎡
合景映月台,海淀区,130000,1575-3915万,4室210-290㎡
祥顺佳园,北京周边,,,2-3室97-137㎡
龙湖长楹天街,朝阳区,43311,总价待定,
福康馨苑,北京周边,6200,总价待定,3-4室156-247㎡
天保绿城,北京周边,,,1-3室28-108㎡
顺鑫山语溪,顺义区,13506,总价待定,
绿地启航国际(房山),房山区,23000,2300-3600万,1000㎡
香城丽景,北京周边,6292,总价待定,
郦湖北岸,北京周边,,,2室86-112㎡
合生世界花园,通州区,,239万起,3室114㎡
莱茵湾,顺义区,16044,总价待定,
玖号院,怀柔区,18266,总价待定,
京基鹭府,昌平区,68126,总价待定,4室960㎡
金域公园,房山区,24000,总价待定,
龙熙顺景,大兴区,39000,总价待定,4-8室280-500㎡
泰禾昌平拾景园平墅,昌平区,,,
新锐时代,东城区,,,1-2室63-89㎡
海南-荣盛香水湾-北京站,海淀区,23000,89-163万,1-3室39-96㎡
瑞安君汇,朝阳区,80000,总价待定,
京贸国际城,通州区,,,
鸿坤理想澜湾,北京周边,14000,总价待定,1-5室39-129㎡
中海红杉溪谷,通州区,18666,总价待定,
瑞悦府,朝阳区,67516,总价待定,2-3室90-316㎡
纳丹堡,东城区,13825,总价待定,2-3室111-194㎡
夏威夷蓝湾,北京周边,,,
观承别墅,顺义区,80000,总价待定,4-5室552-553㎡
中冶·德贤公馆,大兴区,93000,1739-1990万,3-4室187-214㎡
中信城,宣武,48000,总价待定,
首开国风美唐,昌平区,59000,585-774万,2-4室82-142㎡
印象城牛津花园,北京周边,,,2-3室50-107㎡
中海国际港,大兴区,46000,总价待定,
金隅翡丽铂爵郡,海淀区,44303,总价待定,3-4室115-154㎡
京汉君庭,北京周边,5555,总价待定,
金科廊桥水岸,昌平区,26380,总价待定,
华业东方玫瑰,通州区,,,
北京·金茂府,丰台区,,,4室337㎡
大运河孔雀城,香河县,15000,72-112万,1-3室48-116㎡
墅语北京,北京周边,,,2-3室88-136㎡
首创•派尚国际,顺义区,28000,117-156万,1-2室42-56㎡
绿地海珀云翡,大兴区,76000,总价待定,2-3室102-178㎡
远洋仕家,房山区,47900,517-603万,4室108-126㎡
中海·国际城,顺义区,,378-546万,2-3室90-130㎡
原香漫谷SOHO,房山区,12600,56万起,1室45㎡
万科大都会滨江,通州区,65000,总价待定,143-270㎡
招商嘉铭珑原,昌平区,48275,总价待定,
前门前,崇文,64713,总价待定,
首创悦都汇写字楼,大兴区,,,1室257-349㎡
桃花源,顺义区,,,4-5室424-487㎡
亚奥金茂悦,朝阳区,55392,总价待定,2-4室96-185㎡
湖光·壹号,朝阳区,91500,1647-2034万,3-4室183-226㎡
阳光城·檀悦,顺义区,,,3-4室170-350㎡
泛海国际,朝阳区,140000,6440万起,5室460㎡
春晖园随园,顺义区,,1903万起,3室423㎡
富力公主湾,南开区,20000,83-256万,1-4室41-128㎡
旭辉十九城邦,北京周边,,,2-5室88-400㎡
塞纳维拉·永定翠庭,海淀区,,,1-3室56-109㎡
天时名苑,通州区,24000,总价待定,
北京悦,东城区,8328,总价待定,
春晖园·随园,顺义区,,,2-4室187-703㎡
旭辉城,房山区,37000,292万起,2-3室75-112㎡
共青社,北京周边,,,2-3室95-112㎡
常楹公元自由派,朝阳区,,,35-57㎡
北京明发广场,大兴区,21525,总价待定,
福佳蜜码空间,平谷区,,,2室71㎡
恒大城汇金街,昌平区,25000,总价待定,
奥伦达部落原乡,延庆区,25000,总价待定,
北京ONE,通州区,53000,79万起,1室15㎡
荣盛霸州温泉城,北京周边,11500,总价待定,2-3室68-242㎡
天洋城4代,东城区,20000,总价待定,
苹果汇,石景山区,34000,185-287万,1-2室54-84㎡
御汤山·熙园,昌平区,,,6室602㎡
炫立方商铺,顺义区,60000,408万起,1室68㎡
金谷美丽城,东城区,11978,总价待定,
卡法国际,顺义区,32000,147-211万,1-2室46-66㎡
颐景华府,北京周边,15500,总价待定,2-3室82-105㎡
泊度度假公寓,抚宁区,19000,197-250万,2-3室104-132㎡
住总正华多彩嘉苑,大兴区,15000,总价待定,2室88-90㎡
世佳别墅,通州区,,,3室480㎡
御世•佳府,通州区,,,
溪水雅地·尚著,密云区,16000,总价待定,
恭和家园养老社区,朝阳区,,,79-95㎡
艺墅,北京周边,7000,总价待定,276㎡
通泰国际公馆,大兴区,55000,484-495万,2-3室88-90㎡
中粮·祥云壹品,顺义区,55000,2585万起,3室470㎡
中铁国际花园,房山区,,,3室90-128㎡
华泰豪庭,北京周边,,,1-3室40-120㎡
首创悦树湾,顺义区,14000,总价待定,2-3室84-89㎡
北京城建国誉府,房山区,53000,643-1336万,5室143-297㎡
嘉益园,密云区,15140,总价待定,2室88-95㎡
龙湖好望山,顺义区,21000,总价待定,
元都尚街,朝阳区,130000,总价待定,
世纪星城,通州区,,,
东港鑫座,顺义区,22000,240万起,1室150㎡
北辰香麓1,海淀区,,,4-6室223-303㎡
泽信公馆,丰台区,89523,808-1093万,3室105-142㎡
城市之光翡翠四季,通州区,,,2-3室73-91㎡
金桥滨河丽舍,密云区,19047,总价待定,
绿地启航国际三期,房山区,,,
潮白河孔雀城学府澜湾,东城区,,,2-4室75-135㎡
金海太阳公园二期,北京周边,,,2室90-107㎡
IHO创新时代,惠城区,14000,105万起,3室75-220㎡
泰和福地水岸,莲池区,15000,124-128万,2室82-85㎡
中兴和园,东城区,13838,总价待定,
海怡庄园,密云区,14836,总价待定,
中国铁建通瑞嘉苑,通州区,16000,总价待定,2-3室71-89㎡
住总万科金域华府,昌平区,41875,总价待定,1-3室67-115㎡
观巢,朝阳区,58000,总价待定,
紫御长安,石景山区,,,
天地新城启承,涿州市,17300,150-231万,3室87-134㎡
首开璞瑅公馆,丰台区,110000,3068-3484万,4-5室230-268㎡
丽都壹号,朝阳区,,,1-3室61-119㎡
绿地北京新干线,顺义区,38000,176-266万,2-3室42-62㎡
海口-大华锦绣海岸-北京站,海淀区,15000,118-199万,2-4室79-133㎡
佶地国际,定兴县,13000,119万起,1室92㎡
金谷香郡,石景山区,31292,总价待定,2-3室96-148㎡
首尔甜城Ⅱ九里香堤,北京周边,,,2-3室82-125㎡
北京玫瑰园,昌平区,45000,总价待定,
中国玺,丰台区,,,4室215㎡
首开琅樾,朝阳区,40000,874万起,3-5室205-495㎡
世茂国风长安,丰台区,55000,495-1045万,2-4室90-190㎡
保利春天里,大兴区,25357,总价待定,1-4室58-153㎡
翔天万和城,东城区,21000,总价待定,1-3室39-106㎡
世界名园,房山区,21800,总价待定,1-4室61-155㎡
双翼大厦,顺义区,17800,9632万起,1室5411㎡
紫禁壹号院,大兴区,140350,总价待定,4室285-677㎡
米拉village,通州区,23050,总价待定,
首开铂郡,朝阳区,75000,总价待定,
亦庄金茂府,大兴区,67000,总价待定,3-4室132-210㎡
龙山华府,昌平区,22831,总价待定,
大宁山庄,房山区,,,
纽约公园,东城区,6451,总价待定,1-2室65-98㎡
凯旋大道,北京周边,7200,总价待定,2-4室86-163㎡
尚峯壹號,顺义区,,,4室107-265㎡
中兴和园二期,北京周边,24000,总价待定,1-4室56-125㎡
北京怡园,昌平区,46000,总价待定,1-6室40-485㎡
北京诺德中心,丰台区,51000,339万起,1室70㎡
丹佛尔湾滨水别墅,北京周边,,,3室210-306㎡
天同11号,大兴区,,,3室105㎡
上上城第三季,东城区,12196,总价待定,
